zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_36.0_13.5,2024,1,2024-S1,Diminution,44.9,44.3,44.9,10.8,Stable,False
z_36.0_13.5,2024,2,2024-S2,Augmentation,53.2,53.2,36.9,9.9,Augmentation,True
z_36.0_13.5,2025,1,2025-S1,Augmentation,61.6,61.6,30.6,7.8,Stable,False
z_36.0_13.5,2025,2,2025-S2,Augmentation,62.6,62.6,27.3,10.2,Diminution,False
z_36.0_15.0,2023,1,2023-S1,Diminution,59.6,29.0,59.6,11.4,Diminution,True
z_36.0_15.0,2023,2,2023-S2,Diminution,69.7,21.1,69.7,9.2,Stable,False
z_36.0_15.0,2024,1,2024-S1,Diminution,51.9,34.4,51.9,13.7,Augmentation,False
z_36.0_15.0,2024,2,2024-S2,Augmentation,53.4,53.4,29.8,16.8,Stable,False
z_36.0_15.0,2025,1,2025-S1,Augmentation,61.2,61.2,24.2,14.6,Augmentation,True
z_36.0_15.0,2025,2,2025-S2,Augmentation,66.6,66.6,21.9,11.4,Diminution,False
z_36.0_16.5,2023,1,2023-S1,Stable,73.1,21.8,5.1,73.1,Stable,True
z_36.0_16.5,2023,2,2023-S2,Stable,82.1,2.3,15.5,82.1,Stable,True
z_36.0_16.5,2024,1,2024-S1,Stable,91.5,4.6,3.9,91.5,Stable,True
z_36.0_16.5,2024,2,2024-S2,Stable,82.0,5.1,12.9,82.0,Stable,True
z_36.0_16.5,2025,1,2025-S1,Stable,80.4,15.1,4.4,80.4,Stable,True
